Supply,Amount,Unit Price,Total Price,Artist Fee,Platform Fee
6602100.0,36300,26.347971,959075.163114,143861.27446709998,47953.7581557
6638500.0,36400,26.450059,965436.184373,144815.42765595,48271.80921865001
6675000.0,36500,26.552259,971821.741252,145773.2611878,48591.0870626
6711600.0,36600,26.654573,978231.860709,146734.77910635,48911.59303545
6748300.0,36700,26.756998,984666.569656,147699.9854484,49233.3284828
6785100.0,36800,26.859535,991125.894964,148668.8842446,49556.2947482
6822000.0,36900,26.962184,997609.863456,149641.47951839998,49880.4931728
6859000.0,37000,27.064944,1004118.501916,150617.7752874,50205.925095800005
6896100.0,37100,27.167816,1010651.837082,151597.7755623,50532.5918541
6933300.0,37200,27.270799,1017209.895647,152581.48434705,50860.494782350004
6970600.0,37300,27.373894,1023792.704265,153568.90563974998,51189.63521325
7008000.0,37400,27.477099,1030400.289542,154560.0434313,51520.014477100005
7045500.0,37500,27.580414,1037032.678046,155554.90170689998,51851.633902300004
7083100.0,37600,27.683841,1043689.8963,156553.484445,52184.494815000005
7120800.0,37700,27.787377,1050371.970785,157555.79561774997,52518.59853925
7158600.0,37800,27.891024,1057078.927938,158561.8391907,52853.946396900006
7196500.0,37900,27.994781,1063810.794158,159571.6191237,53190.5397079
7234500.0,38000,28.098648,1070567.595798,160585.1393697,53528.379789900006
7272600.0,38100,28.202624,1077349.359172,161602.4038758,53867.467958600006
7310800.0,38200,28.30671,1084156.11055,162623.4165825,54207.80552750001
7349100.0,38300,28.410905,1090987.876164,163648.18142459998,54549.3938082
7387500.0,38400,28.515209,1097844.682202,164676.70233029997,54892.2341101
7426000.0,38500,28.619622,1104726.554812,165708.98322179998,55236.3277406
7464600.0,38600,28.724144,1111633.520101,166745.02801515002,55581.67600505001
7503300.0,38700,28.828774,1118565.604135,167784.84062024998,55928.28020675
7542100.0,38800,28.933513,1125522.832941,168828.42494114998,56276.14164705
7581000.0,38900,29.038361,1132505.232504,169875.7848756,56625.2616252
7620000.0,39000,29.143316,1139512.828769,170926.92431534998,56975.64143845
7659100.0,39100,29.248379,1146545.647642,171981.84714630002,57327.282382100006
7698300.0,39200,29.35355,1153603.714988,173040.5572482,57680.1857494
7737600.0,39300,29.458829,1160687.056634,174103.0584951,58034.3528317
7777000.0,39400,29.564215,1167795.698365,175169.35475475,58389.78491825001
7816500.0,39500,29.669709,1174929.665929,176239.44988934998,58746.483296449995
7856100.0,39600,29.775309,1182088.985034,177313.34775509997,59104.449251699996
